,Unnamed: 0,Unnamed: 0.1,Post_ID,Comment,Likes,Comment_ID,Commenter_ID,created_time,keys
174445,174445,174491,148755278523144_1261864903878837,Will they be cheap or expensive prices do you know,0,1261864903878837_1262105817188079,1.13291e+15,2016-06-22T11:58:25+0000,148755278523144
174446,174446,174492,148755278523144_1261864903878837,DArn!! i missed it!  When's the next one?,0,1261864903878837_1268206709911323,1.63767e+15,2016-06-22T11:58:25+0000,148755278523144
174447,174447,174493,148755278523144_1261864903878837,Where is this building,0,1261864903878837_1266447223420605,1.02098e+16,2016-06-22T11:58:25+0000,148755278523144
174448,174448,174494,148755278523144_1261864903878837,Can anyone come,0,1261864903878837_1262646237134037,1.14433e+15,2016-06-22T11:58:25+0000,148755278523144
174449,174449,174495,148755278523144_1261864903878837,Where can I access the list of items and their prices?,1,1261864903878837_1263044887094172,1.02059e+16,2016-06-22T11:58:25+0000,148755278523144
174450,174450,174496,148755278523144_1261864903878837,Karen Ray Nakia Ray,2,1261864903878837_1262004983864829,1.37245e+15,2016-06-22T11:58:25+0000,148755278523144
174451,174451,174497,148755278523144_1261864903878837,Keachia Witherspoon,1,1261864903878837_1262692817129379,1.02081e+16,2016-06-22T11:58:25+0000,148755278523144
174452,174452,174498,148755278523144_1259404234124904,"Happy for you, that is so awesome.",1,1259404234124904_1259565604108767,1.02092e+16,2016-06-18T20:26:45+0000,148755278523144
174453,174453,174499,148755278523144_1259404234124904,Keep on smiling,1,1259404234124904_1259410807457580,1.61314e+15,2016-06-18T20:26:45+0000,148755278523144
174454,174454,174500,148755278523144_1259404234124904,It was a fantastic concert!!,0,1259404234124904_1259596334105694,8.52383e+14,2016-06-18T20:26:45+0000,148755278523144
174455,174455,174501,148755278523144_1259404234124904,My grandson PVT Johnathan Malik Rivera,0,1259404234124904_1260192594046068,1.58702e+15,2016-06-18T20:26:45+0000,148755278523144
174456,174456,174502,148755278523144_1259404234124904,happy everybdy enjoy,0,1259404234124904_1259406140791380,2.45235e+14,2016-06-18T20:26:45+0000,148755278523144
174457,174457,174503,148755278523144_1258008780931116,can you bring in food/snacks or purchase any there?,0,1258008780931116_1259271597471501,1.01029e+16,2016-06-16T16:58:11+0000,148755278523144
174458,174458,174504,148755278523144_1258008780931116,are tickets needed?,0,1258008780931116_1258118717586789,1.01539e+16,2016-06-16T16:58:11+0000,148755278523144
174459,174459,174505,148755278523144_1258008780931116,Where are they going?,0,1258008780931116_1258230804242247,1.02067e+16,2016-06-16T16:58:11+0000,148755278523144
174460,174460,174506,148755278523144_1257876414277686,Wow... CASCOM G3 Training technology did an outstanding job with this!,1,1257876414277686_1257881120943882,1.2499e+15,2016-06-16T11:48:09+0000,148755278523144
174461,174461,174507,148755278523144_1257876414277686,Go Army!!! Proud and thankful for you all!,0,1257876414277686_1258155127583148,1.18237e+15,2016-06-16T11:48:09+0000,148755278523144
174462,174462,174508,148755278523144_1257876414277686,Go Army !!! Ì†ΩÌ±çÌ†ΩÌ±çÌ†ºÌ∑∫Ì†ºÌ∑∏Ì†ºÌ∑∫Ì†ºÌ∑∏,0,1257876414277686_1258036327595028,1.4625e+15,2016-06-16T11:48:09+0000,148755278523144
174463,174463,174509,148755278523144_1257876414277686,ARMY GO HOME!!!!,0,1257876414277686_1257903577608303,2.47055e+14,2016-06-16T11:48:09+0000,148755278523144
174464,174464,174510,148755278523144_1257876414277686,Rebecca Luna,1,1257876414277686_1258359097562751,1.02102e+16,2016-06-16T11:48:09+0000,148755278523144
174465,174465,174511,148755278523144_1257876414277686,Cynthia Velez,1,1257876414277686_1257974877601173,1.02069e+16,2016-06-16T11:48:09+0000,148755278523144
174466,174466,174512,148755278523144_1257876414277686,Proud of  United states Army Go Army  Thank You !!!!!,0,1257876414277686_1262608757137785,1.23538e+15,2016-06-16T11:48:09+0000,148755278523144
174467,174467,174513,148755278523144_1256038494461478,"I Love Your Page So Much, I Love Greatly Soldiers, I Am Passionate Army !!!! ‚ô°‚ô°‚ô°‚ô°",1,1256037844461543_1256045241127470,1.58304e+15,2016-06-14T10:17:30+0000,148755278523144
174468,174468,174514,148755278523144_1256038494461478,Happy Birthday!!!,1,1256037844461543_1256185531113441,1.10775e+15,2016-06-14T10:17:30+0000,148755278523144
174469,174469,174515,148755278523144_1236619613070033,I may have missed it but I don't recall anything about the band departing Fort Lee.  Does this mean Fort Lee will not have a band anymore?  This is terrible news.,0,1236619613070033_1256585294406798,1.02101e+16,2016-06-12T13:00:00+0000,148755278523144
174470,174470,174516,148755278523144_1236619613070033,De Los Santos Christy,0,1236619613070033_1257810564284271,1.06707e+15,2016-06-12T13:00:00+0000,148755278523144
174471,174471,174517,148755278523144_1242388035826524,I will never forget this run I ran for my fellow fallen soldiers,0,1242388035826524_1268185706580090,1.01542e+16,2016-06-11T13:22:28+0000,148755278523144
174472,174472,174518,148755278523144_1242388035826524,Very nice ceremony.,0,1242388035826524_1242436969154964,1.02098e+16,2016-06-11T13:22:28+0000,148755278523144
174473,174473,174519,148755278523144_1242388035826524,Rip sir and thank you for ur service,0,1242388035826524_1242496422482352,1.09096e+15,2016-06-11T13:22:28+0000,148755278523144
174474,174474,174520,148755278523144_1242388035826524,Shane Adcock!!!  Visited the museum in Hawaii where he was stationed.,0,1242388035826524_1242709872461007,1.021e+16,2016-06-11T13:22:28+0000,148755278523144
174475,174475,174521,148755278523144_1242388035826524,Easton Porter,0,1242388035826524_1242568835808444,1.0205e+16,2016-06-11T13:22:28+0000,148755278523144
174476,174476,174522,148755278523144_1242388035826524,Jean,0,1242388035826524_1242762045789123,7.44491e+14,2016-06-11T13:22:28+0000,148755278523144
174477,174477,174523,148755278523144_1242388035826524,Jeremy Thomas,0,1242388035826524_1242692912462703,1.03481e+15,2016-06-11T13:22:28+0000,148755278523144
174478,174478,174524,148755278523144_1241970505868277,here I come,0,1241970505868277_1242477692484225,1.61314e+15,2016-06-10T20:16:23+0000,148755278523144
174479,174479,174525,148755278523144_1241970505868277,Love these guys.,0,1241970505868277_1242094725855855,1.22667e+15,2016-06-10T20:16:23+0000,148755278523144
174480,174480,174526,148755278523144_1241970505868277,What a beautiful sight. Home of the Free.,0,1241970505868277_1242356212496373,1.02056e+16,2016-06-10T20:16:23+0000,148755278523144
