,Unnamed: 0,Unnamed: 0.1,Post_ID,Comment,Likes,Comment_ID,Commenter_ID,created_time,keys
33,33,34,105314739733_10154480289924734,Thank you for live streaming the music!,3,10154480289924734_10154480324059734,1.02094e+16,2016-07-04T03:05:33+0000,105314739733
34,34,35,105314739733_10154480289924734,Thanks for streaming. Watching from Texas.,2,10154480289924734_10154480326829734,1.02086e+16,2016-07-04T03:05:33+0000,105314739733
35,35,36,105314739733_10154480289924734,"Miss Ft.Carson, watching this from Alaska right now",3,10154480289924734_10154480320174734,1.33556e+15,2016-07-04T03:05:33+0000,105314739733
36,36,37,105314739733_10154480289924734,That's my son!! Great job young man!!,2,10154480289924734_10154481254539734,1.74094e+15,2016-07-04T03:05:33+0000,105314739733
37,37,38,105314739733_10154480289924734,Watching from WV :),2,10154480289924734_10154480311474734,1.01544e+16,2016-07-04T03:05:33+0000,105314739733
38,38,39,105314739733_10154480289924734,I watched video of the fireworks I took last year lol.,0,10154480289924734_10154480307429734,1.01535e+16,2016-07-04T03:05:33+0000,105314739733
39,39,40,105314739733_10154480289924734,Better,1,10154480289924734_10154480305134734,1.24922e+15,2016-07-04T03:05:33+0000,105314739733
40,40,41,105314739733_10154480289924734,Kinda miss this place,1,10154480289924734_10154480300294734,1.02099e+16,2016-07-04T03:05:33+0000,105314739733
41,41,42,105314739733_10154480289924734,Great band! Enjoying this Ì†ºÌ∑∫Ì†ºÌ∑∏,1,10154480289924734_10154480334369734,8.49491e+14,2016-07-04T03:05:33+0000,105314739733
42,42,43,105314739733_10154480289924734,Watching from West Palm Beach Ì†ΩÌ∏Ä,1,10154480289924734_10154480329089734,8.49491e+14,2016-07-04T03:05:33+0000,105314739733
43,43,44,105314739733_10154480289924734,Go Army,0,10154480289924734_10154480375714734,8.77999e+14,2016-07-04T03:05:33+0000,105314739733
44,44,45,105314739733_10154480289924734,"Awesome job , Jody!",0,10154480289924734_10154482799599734,1.02104e+16,2016-07-04T03:05:33+0000,105314739733
45,45,46,105314739733_10154480289924734,Nooo broadcast interrupted,0,10154480289924734_10154480338344734,1.24922e+15,2016-07-04T03:05:33+0000,105314739733
46,46,47,105314739733_10154480289924734,I'm clapping too,0,10154480289924734_10154480336684734,1.24922e+15,2016-07-04T03:05:33+0000,105314739733
47,47,48,105314739733_10154480289924734,Ok what was that?,0,10154480289924734_10154480331669734,1.24922e+15,2016-07-04T03:05:33+0000,105314739733
48,48,49,105314739733_10154480289924734,Looks scrambled,0,10154480289924734_10154480304499734,1.24922e+15,2016-07-04T03:05:33+0000,105314739733
49,49,50,105314739733_10154480289924734,Who is videoing this ?,0,10154480289924734_10154480310694734,1.02099e+16,2016-07-04T03:05:33+0000,105314739733
50,50,51,105314739733_10154480289924734,Awsome,0,10154480289924734_10154480377244734,5.16207e+14,2016-07-04T03:05:33+0000,105314739733
51,51,52,105314739733_10154480289924734,Peace and love to all‚úåÌ†ΩÌ±ΩÌ†ΩÌ≤®,0,10154480289924734_10154480344804734,8.22827e+14,2016-07-04T03:05:33+0000,105314739733
52,52,53,105314739733_10154480289924734,Well get one ok,0,10154480289924734_10154480334714734,8.49491e+14,2016-07-04T03:05:33+0000,105314739733
53,53,54,105314739733_10154480289924734,Awesome!,0,10154480289924734_10154480330574734,8.49491e+14,2016-07-04T03:05:33+0000,105314739733
54,54,55,105314739733_10154480289924734,Liesbeth muntz loggen,0,10154480289924734_10154481824704734,5.15356e+14,2016-07-04T03:05:33+0000,105314739733
55,55,56,105314739733_10154480289924734,Happy fourth everyone,0,10154480289924734_10154480348154734,1.24222e+15,2016-07-04T03:05:33+0000,105314739733
56,56,57,105314739733_10154480289924734,What is this?,0,10154480289924734_10154480328544734,1.3589e+15,2016-07-04T03:05:33+0000,105314739733
57,57,58,105314739733_10154480289924734,"Security, CO",0,10154480289924734_10154480329569734,1.02096e+16,2016-07-04T03:05:33+0000,105314739733
58,58,59,105314739733_10154480289924734,Happy 4th of July,0,10154480289924734_10154480344614734,1.20997e+15,2016-07-04T03:05:33+0000,105314739733
59,59,60,105314739733_10154480289924734,1812 Overture with full cannons,1,10154480289924734_10154481481844734,1.27272e+15,2016-07-04T03:05:33+0000,105314739733
60,60,61,105314739733_10154480289924734,Im loving it as well. Wish it would quit freezing.,1,10154480289924734_10154480339944734,1.01535e+16,2016-07-04T03:05:33+0000,105314739733
61,61,62,105314739733_10154480289924734,Ì†ΩÌ∏û,0,10154480289924734_10154480339014734,1.02086e+16,2016-07-04T03:05:33+0000,105314739733
62,62,63,105314739733_10154480289924734,Im good thanks.,0,10154480289924734_10154480335114734,1.01535e+16,2016-07-04T03:05:33+0000,105314739733
63,63,64,105314739733_10154480289924734,:(,0,10154480289924734_10154480338564734,1.01535e+16,2016-07-04T03:05:33+0000,105314739733
64,64,65,105314739733_10154480289924734,Im sick so couldn't go. My kids are there though.,0,10154480289924734_10154480312769734,1.01535e+16,2016-07-04T03:05:33+0000,105314739733
65,65,66,105314739733_10154480289924734,"Happy 4th to all. From West Palm Beach, Fl",0,10154480289924734_10154480347989734,8.49491e+14,2016-07-04T03:05:33+0000,105314739733
66,66,67,105314739733_10154480289924734,Thank you  :),1,10154480289924734_10154480314334734,1.01535e+16,2016-07-04T03:05:33+0000,105314739733
67,67,68,105314739733_10154480289924734,Adam Knight your home base,0,10154480289924734_10154481668394734,1.02101e+16,2016-07-04T03:05:33+0000,105314739733
68,68,69,105314739733_10154480289924734,"Happy 4th of July from Oswego, N.Y.",0,10154480289924734_10154480426734734,1.63401e+15,2016-07-04T03:05:33+0000,105314739733
69,69,70,105314739733_10154480289924734,no clue lol,0,10154480289924734_10154480334379734,1.01535e+16,2016-07-04T03:05:33+0000,105314739733
70,70,71,105314739733_10154480289924734,Happy birthday America!,0,10154480289924734_10154480345269734,1.02086e+16,2016-07-04T03:05:33+0000,105314739733
71,71,72,105314739733_10154480289924734,Like reply,0,10154480289924734_10154480359594734,2.64158e+14,2016-07-04T03:05:33+0000,105314739733
72,72,73,105314739733_10154480289924734,Peggy Brown Monego,1,10154480289924734_10154480334959734,1.73173e+15,2016-07-04T03:05:33+0000,105314739733
73,73,74,105314739733_10154480289924734,Vicky Frias,1,10154480289924734_10154480460599734,1.14655e+15,2016-07-04T03:05:33+0000,105314739733
74,74,75,105314739733_10154480289924734,Grissel Garcia,1,10154480289924734_10154480453989734,6.52179e+14,2016-07-04T03:05:33+0000,105314739733
